date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2010-11-16,1502.11,1507.08,1468.08,1478.47,USD,1.0,0.0
2010-11-17,1481.34,1485.32,1469.3,1476.81,USD,1.0,0.0
2010-11-18,1475.82,1501.22,1473.61,1494.59,USD,1.0,0.0
2010-11-19,1495.48,1505.53,1481.34,1493.82,USD,1.0,0.0
2010-11-22,1499.01,1510.5,1488.96,1499.9,USD,1.0,0.0
2010-11-23,1508.73,1527.62,1497.47,1521.77,USD,1.0,0.0
2010-11-24,1521.22,1525.52,1511.94,1516.69,USD,1.0,0.0
2010-11-25,,,,,USD,1.0,0.0
2010-11-26,1518.23,1518.79,1491.39,1504.98,USD,1.0,0.0
2010-11-29,1506.75,1512.6,1494.15,1508.95,USD,1.0,0.0
2010-11-30,1509.73,1535.58,1505.42,1529.94,USD,1.0,0.0
2010-12-01,1531.71,1543.41,1526.52,1532.37,USD,1.0,0.0
2010-12-02,1531.6,1544.95,1527.4,1533.48,USD,1.0,0.0
2010-12-03,1531.05,1564.05,1529.06,1552.13,USD,1.0,0.0
2010-12-06,1561.95,1577.74,1556.1,1563.06,USD,1.0,0.0
2010-12-07,1573.98,1581.16,1541.64,1555.22,USD,1.0,0.0
2010-12-08,1546.72,1551.25,1514.49,1526.74,USD,1.0,0.0
2010-12-09,1526.52,1540.43,1524.42,1537.34,USD,1.0,0.0
2010-12-10,1532.37,1537.56,1515.15,1528.62,USD,1.0,0.0
2010-12-13,1528.73,1545.51,1524.09,1543.08,USD,1.0,0.0
2010-12-14,1539.99,1555.11,1536.9,1550.03,USD,1.0,0.0
2010-12-15,1541.64,1543.08,1521.22,1530.05,USD,1.0,0.0
2010-12-16,1522.0,1531.27,1502.9,1513.28,USD,1.0,0.0
2010-12-17,1512.61,1522.99,1507.09,1522.33,USD,1.0,0.0
2010-12-20,1519.9,1533.03,1519.46,1529.94,USD,1.0,0.0
2010-12-21,1529.94,1537.56,1524.76,1532.92,USD,1.0,0.0
2010-12-22,1530.16,1536.12,1527.07,1531.38,USD,1.0,0.0
2010-12-23,1529.94,1533.14,1515.04,1523.76,USD,1.0,0.0
2010-12-27,1522.0,1530.94,1515.15,1526.41,USD,1.0,0.0
2010-12-28,1527.85,1553.56,1526.63,1551.47,USD,1.0,0.0
2010-12-29,1552.9,1561.73,1546.94,1560.19,USD,1.0,0.0
2010-12-30,1558.75,1562.28,1549.15,1551.8,USD,1.0,0.0
2010-12-31,1550.8,1569.57,1550.36,1568.91,USD,1.0,0.0
2011-01-03,1567.8,1572.22,1559.74,1570.56,USD,1.0,0.0
2011-01-04,1561.62,1564.93,1517.69,1521.89,USD,1.0,0.0
2011-01-05,1523.98,1528.95,1505.55,1516.26,USD,1.0,0.0
2011-01-06,1519.24,1523.21,1505.88,1514.05,USD,1.0,0.0
2011-01-07,1514.05,1522.11,1493.08,1510.96,USD,1.0,0.0
2011-01-10,1511.95,1519.24,1506.65,1516.7,USD,1.0,0.0
