date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2016-11-11,49.94,50.25,48.45,48.88,USD,1.0,1.0
2016-11-14,48.64,49.33,47.52,48.78,USD,1.0,1.0
2016-11-15,49.27,51.9,49.04,51.58,USD,1.0,1.0
2016-11-16,51.54,52.26,50.7,51.31,USD,1.0,1.0
2016-11-17,51.09,52.45,50.53,51.14,USD,1.0,1.0
2016-11-18,50.59,51.54,50.16,51.45,USD,1.0,1.0
2016-11-21,51.6,53.82,51.54,53.47,USD,1.0,1.0
2016-11-22,53.62,54.54,52.29,53.24,USD,1.0,1.0
2016-11-23,53.14,53.68,52.54,53.16,USD,1.0,1.0
2016-11-24,,,,,USD,1.0,1.0
2016-11-25,53.17,53.49,50.86,51.06,USD,1.0,1.0
2016-11-28,50.36,52.82,50.04,52.19,USD,1.0,1.0
2016-11-29,51.96,52.08,49.68,50.14,USD,1.0,1.0
2016-11-30,50.15,55.31,50.12,54.8,USD,1.0,1.0
2016-12-01,54.39,57.42,54.29,56.6,USD,1.0,1.0
2016-12-02,56.54,57.34,55.62,57.29,USD,1.0,1.0
2016-12-05,57.04,58.11,56.45,57.41,USD,1.0,1.0
2016-12-06,56.5,57.2,55.73,56.45,USD,1.0,1.0
2016-12-07,56.45,56.75,55.11,55.17,USD,1.0,1.0
2016-12-08,55.29,56.51,54.99,56.35,USD,1.0,1.0
2016-12-09,56.44,57.26,56.38,57.09,USD,1.0,1.0
2016-12-12,58.28,60.42,57.84,58.56,USD,-1.0,1.0
2016-12-13,58.21,59.2,58.03,58.73,USD,-1.0,1.0
2016-12-14,58.14,58.5,56.17,56.58,USD,-1.0,1.0
2016-12-15,56.3,57.06,55.37,56.42,USD,-1.0,1.0
2016-12-16,56.64,57.73,55.98,57.53,USD,-1.0,1.0
2016-12-19,57.81,58.22,57.1,57.77,USD,-1.0,1.0
2016-12-20,57.76,58.42,57.47,57.89,USD,-1.0,1.0
2016-12-21,58.18,58.43,56.83,57.02,USD,-1.0,1.0
2016-12-22,57.05,57.78,56.57,57.51,USD,-1.0,1.0
2016-12-23,57.22,57.87,56.77,57.59,USD,1.0,1.0
2016-12-27,57.88,58.76,57.6,58.55,USD,1.0,1.0
2016-12-28,58.58,59.06,58.18,58.72,USD,1.0,1.0
2016-12-29,58.29,58.88,58.07,58.41,USD,1.0,1.0
2016-12-30,58.51,58.75,58.01,58.35,USD,1.0,1.0
2017-01-02,,,,,USD,1.0,1.0
2017-01-03,58.87,60.0,56.6,56.84,USD,1.0,1.0
2017-01-04,57.02,58.04,56.65,57.85,USD,1.0,1.0
2017-01-05,57.99,58.79,57.34,58.39,USD,1.0,1.0
2017-01-06,58.36,59.0,57.92,58.64,USD,1.0,1.0
2017-01-09,58.38,58.47,56.22,56.44,USD,1.0,1.0
2017-01-10,56.3,56.88,55.08,55.2,USD,1.0,1.0
2017-01-11,55.19,57.33,55.13,56.75,USD,1.0,1.0
2017-01-12,56.88,58.11,56.61,57.58,USD,1.0,1.0
2017-01-13,57.62,57.75,56.78,56.88,USD,1.0,1.0
2017-01-16,,,,,USD,1.0,1.0
2017-01-17,57.08,58.13,56.61,57.0,USD,1.0,1.0
2017-01-18,57.05,57.34,55.3,55.48,USD,1.0,1.0
2017-01-19,55.82,56.34,55.42,55.8,USD,1.0,1.0
2017-01-20,55.89,57.46,55.82,56.94,USD,1.0,1.0
2017-01-23,57.06,57.21,55.86,56.44,USD,1.0,1.0
2017-01-24,56.55,57.3,56.35,56.9,USD,1.0,1.0
2017-01-25,56.65,57.21,56.23,56.44,USD,1.0,1.0
2017-01-26,56.66,57.84,56.48,57.54,USD,1.0,1.0
2017-01-27,57.5,57.86,56.25,56.89,USD,1.0,1.0
2017-01-30,56.86,57.2,56.07,56.31,USD,1.0,1.0
2017-01-31,56.28,57.3,55.89,56.5,USD,1.0,1.0
2017-02-01,56.45,57.68,56.32,57.65,USD,1.0,1.0
2017-02-02,57.31,58.14,57.08,57.28,USD,1.0,1.0
2017-02-03,57.43,58.01,57.13,57.59,USD,1.0,1.0
2017-02-06,57.57,57.91,56.61,56.71,USD,1.0,1.0
2017-02-07,56.85,56.96,55.24,55.82,USD,1.0,1.0
2017-02-08,55.25,56.35,54.8,56.0,USD,1.0,1.0
2017-02-09,56.03,56.93,56.03,56.7,USD,1.0,1.0
2017-02-10,56.86,57.91,56.6,57.62,USD,1.0,1.0
2017-02-13,57.56,57.72,56.46,56.63,USD,1.0,1.0
2017-02-14,56.61,57.47,56.55,56.92,USD,1.0,1.0
2017-02-15,56.7,57.25,56.41,56.82,USD,1.0,1.0
2017-02-16,56.71,57.33,56.36,57.09,USD,1.0,1.0
2017-02-17,57.21,57.26,56.58,57.13,USD,1.0,1.0
2017-02-20,,,,,USD,1.0,1.0
2017-02-21,57.22,58.5,57.08,57.84,USD,1.0,1.0
2017-02-22,57.76,58.13,56.79,57.05,USD,1.0,1.0
2017-02-23,57.39,58.49,57.35,57.97,USD,1.0,1.0
2017-02-24,57.84,58.03,57.23,57.48,USD,1.0,1.0
2017-02-27,57.51,58.14,57.42,57.54,USD,1.0,1.0
2017-02-28,57.53,57.73,56.61,57.5,USD,1.0,1.0
2017-03-01,57.43,57.95,57.09,57.31,USD,1.0,1.0
2017-03-02,57.16,57.27,55.93,56.01,USD,1.0,1.0
2017-03-03,55.97,56.84,55.94,56.77,USD,1.0,1.0
2017-03-06,56.62,57.02,56.17,56.63,USD,1.0,1.0
2017-03-07,56.6,57.27,56.11,56.57,USD,1.0,1.0
2017-03-08,56.2,56.34,53.28,53.53,USD,1.0,1.0
2017-03-09,53.46,54.12,51.73,52.46,USD,1.0,1.0
2017-03-10,52.81,53.35,51.43,51.62,USD,1.0,1.0
2017-03-13,51.58,51.82,50.99,51.52,USD,1.0,1.0
2017-03-14,51.58,51.94,50.13,50.8,USD,1.0,1.0
2017-03-15,51.91,52.21,51.27,52.01,USD,1.0,1.0
2017-03-16,52.17,52.82,51.58,51.9,USD,1.0,1.0
2017-03-17,51.94,52.38,51.74,51.93,USD,1.0,1.0
2017-03-20,51.84,51.89,50.93,51.33,USD,1.0,1.0
2017-03-21,51.02,51.88,50.28,50.4,USD,1.0,1.0
2017-03-22,50.31,50.48,49.11,50.19,USD,1.0,1.0
2017-03-23,50.3,50.65,49.71,49.83,USD,1.0,1.0
2017-03-24,49.8,50.35,49.67,50.11,USD,1.0,1.0
2017-03-27,50.27,50.44,49.18,49.86,USD,1.0,1.0
2017-03-28,50.03,50.92,49.94,50.53,USD,1.0,-1.0
2017-03-29,50.64,51.85,50.54,51.72,USD,1.0,-1.0
2017-03-30,51.82,52.73,51.47,52.6,USD,1.0,-1.0
2017-03-31,52.57,53.12,52.13,52.86,USD,1.0,-1.0
2017-04-03,52.96,53.1,52.36,52.49,USD,1.0,-1.0
2017-04-04,52.49,53.59,52.11,53.31,USD,1.0,-1.0
2017-04-05,53.47,54.2,53.01,53.44,USD,-1.0,-1.0
2017-04-06,53.07,54.14,53.04,54.01,USD,-1.0,-1.0
2017-04-07,54.01,55.31,53.79,54.58,USD,-1.0,-1.0
2017-04-10,54.65,55.56,54.63,55.45,USD,-1.0,-1.0
2017-04-11,55.51,55.84,55.06,55.79,USD,-1.0,-1.0
2017-04-12,55.79,56.16,55.07,55.48,USD,-1.0,-1.0
2017-04-13,55.21,55.78,55.18,55.56,USD,-1.0,-1.0
2017-04-17,55.34,55.59,54.9,55.0,USD,-1.0,-1.0
2017-04-18,55.11,55.21,54.43,54.75,USD,-1.0,-1.0
2017-04-19,54.7,55.0,52.33,52.69,USD,-1.0,-1.0
2017-04-20,52.89,53.25,52.42,52.52,USD,-1.0,-1.0
2017-04-21,52.52,52.75,50.95,51.39,USD,-1.0,-1.0
2017-04-24,51.45,52.01,50.78,50.98,USD,-1.0,-1.0
2017-04-25,50.97,51.61,50.61,51.33,USD,-1.0,-1.0
2017-04-26,51.12,51.99,50.68,51.39,USD,-1.0,-1.0
2017-04-27,50.97,51.19,49.92,50.72,USD,-1.0,-1.0
2017-04-28,51.03,51.53,50.54,51.09,USD,-1.0,-1.0
2017-05-01,50.92,51.08,50.32,50.58,USD,-1.0,-1.0
2017-05-02,50.52,51.04,49.04,49.36,USD,-1.0,-1.0
2017-05-03,49.83,49.95,48.99,49.52,USD,-1.0,-1.0
2017-05-04,49.3,49.45,46.9,47.14,USD,-1.0,-1.0
2017-05-05,47.13,48.34,45.32,47.87,USD,-1.0,-1.0
2017-05-08,48.0,48.65,47.36,48.08,USD,-1.0,-1.0
2017-05-09,48.15,48.45,47.15,47.52,USD,-1.0,-1.0
2017-05-10,47.83,49.48,47.65,49.02,USD,-1.0,-1.0
2017-05-11,49.08,49.94,49.03,49.53,USD,-1.0,-1.0
2017-05-12,49.51,49.78,49.04,49.54,USD,-1.0,-1.0
2017-05-15,49.56,51.43,49.45,50.59,USD,-1.0,-1.0
2017-05-16,50.56,51.14,49.89,50.39,USD,-1.0,-1.0
2017-05-17,49.95,51.26,49.74,50.82,USD,-1.0,-1.0
2017-05-18,50.67,51.37,49.76,51.11,USD,-1.0,-1.0
2017-05-19,51.04,52.33,51.04,52.12,USD,-1.0,-1.0
2017-05-22,52.4,52.88,52.24,52.54,USD,-1.0,-1.0
2017-05-23,52.45,53.22,51.96,52.89,USD,-1.0,-1.0
2017-05-24,52.86,53.31,52.44,52.77,USD,-1.0,-1.0
2017-05-25,52.66,53.43,49.78,50.25,USD,-1.0,-1.0
